Model,Dataset,Samples,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,Latency (s),Speed (token/s),Generated tokens,Average output tokens,Average input tokens,Average raw input tokens,Truncated examples,Truncation rate,Average sentences,Empty outputs,Inference RSS (MiB),Peak backend memory (MiB),Seed,Evaluation manifest,Max input tokens,Max new tokens,Machine,Model identifier,Chip,CPU cores,System memory,Operating system,macOS version,Python version,Python architecture,PyTorch version,MPS available,CUDA available
FP16 Baseline,cnn,100,27.482,8.34,17.614,86.072,602.264,15.13,9112,91.12,742.93,824.5,27,0.27,4.27,0,82.25,4203.672,42,data/cnn_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
FP16 Baseline,xsum,100,21.295,4.377,15.967,87.992,272.839,14.492,3954,39.54,469.88,492.27,10,0.1,1.4,0,116.938,3363.672,42,data/xsum_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
MLX 4-bit,cnn,100,30.626,10.163,19.763,86.158,242.295,41.982,10172,101.72,742.93,824.5,27,0.27,4.25,0,1079.469,1531.359,42,data/cnn_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
MLX 4-bit,xsum,100,22.203,4.936,16.934,87.336,125.442,36.136,4533,45.33,469.88,492.27,10,0.1,1.3,0,1517.281,1519.343,42,data/xsum_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
GGUF Q4_K_M (llama.cpp),cnn,100,31.325,11.732,20.879,86.062,356.591,28.066,10008,100.08,742.93,824.5,27,0.27,4.32,0,1588.703,0.0,42,data/cnn_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
GGUF Q4_K_M (llama.cpp),xsum,100,22.253,4.758,16.798,87.643,148.018,31.05,4596,45.96,469.88,492.27,10,0.1,1.49,0,1443.078,0.0,42,data/xsum_eval_seed42_100.csv,1024,128,MacBook Air,"Mac14,2",Apple M2,8 (4 Performance and 4 Efficiency),8 GB,macOS-26.5.1-arm64-arm-64bit,26.5.1,3.12.13,arm64,2.13.0,True,False
